Ad Index,Advertiser,Ad Text,Ad Link,Page ID,Active Time,Error,Raw HTML
511,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
512,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
513,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
514,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
520,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
521,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
522,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
523,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
524,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
525,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
526,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
532,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
533,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
534,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
535,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
536,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
537,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
538,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
544,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
545,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
546,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
547,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
548,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
549,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
550,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
556,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
557,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
558,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
559,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
560,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
561,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
562,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
568,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
569,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
570,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
571,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
572,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
573,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
574,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
580,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
581,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
582,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
583,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
584,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
585,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
586,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
592,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
593,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
594,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
595,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
596,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
597,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
598,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
604,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
605,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
606,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
607,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
608,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
609,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
610,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
616,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
617,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
618,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
619,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
620,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
621,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
622,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
631,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
632,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
633,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
634,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
635,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
636,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
637,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
643,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
644,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
645,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
646,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
647,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
648,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
649,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
655,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
656,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
657,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
658,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
659,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
660,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
661,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
667,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
668,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
669,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
670,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
671,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
672,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
673,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
682,61569518675952,...,https://www.facebook.com/61569518675952/,61569518675952,Unknown,Incomplete data,N/A
683,61569518675952,...,https://www.facebook.com/61569518675952/,61569518675952,Unknown,Incomplete data,N/A
684,61569518675952,...,https://www.facebook.com/61569518675952/,61569518675952,Unknown,Incomplete data,N/A
685,61569518675952,...,https://www.facebook.com/61569518675952/,61569518675952,Unknown,Incomplete data,N/A
686,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
687,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
688,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
694,61551737612623,...,https://www.facebook.com/61551737612623/,61551737612623,Unknown,Incomplete data,N/A
695,61551737612623,...,https://www.facebook.com/61551737612623/,61551737612623,Unknown,Incomplete data,N/A
696,61551737612623,...,https://www.facebook.com/61551737612623/,61551737612623,Unknown,Incomplete data,N/A
697,61551737612623,...,https://www.facebook.com/61551737612623/,61551737612623,Unknown,Incomplete data,N/A
698,61551737612623,...,https://www.facebook.com/61551737612623/,61551737612623,Unknown,Incomplete data,N/A
699,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
700,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
701,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
